timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1789535662405,1174,Snacks - HTTP Request,403,Forbidden,Blinkit 3-2,text,false,,562497,135,4,17,https://blinkit.com/cn/null/cid/1237/940,550,0,498
1789535662040,1567,Snacks - HTTP Request,403,Forbidden,Blinkit 3-1,text,false,,562480,135,4,17,https://blinkit.com/cn/null/cid/1237/940,915,0,863
1789535662910,1168,Snacks - HTTP Request,403,Forbidden,Blinkit 3-3,text,false,,562497,135,5,21,https://blinkit.com/cn/null/cid/1237/940,538,0,297
1789535663586,1085,PetCare - HTTP Request,403,Forbidden,Blinkit 3-2,text,false,,562509,132,6,25,https://blinkit.com/cn/null/cid/5/133,26,0,0
1789535664079,923,PetCare - HTTP Request,403,Forbidden,Blinkit 3-3,text,false,,562497,132,7,29,https://blinkit.com/cn/null/cid/5/133,56,0,0
1789535663608,1438,PetCare - HTTP Request,403,Forbidden,Blinkit 3-1,text,false,,562488,132,7,29,https://blinkit.com/cn/null/cid/5/133,442,0,0
1789535664672,868,DailyEssentials - HTTP Request,403,Forbidden,Blinkit 3-2,text,false,,562502,171,8,33,https://blinkit.com/dc/?collection_uuid=736e6fc2-8c33-4c35-9821-d325509aa0e5,279,0,0
1789535665004,596,DailyEssentials - HTTP Request,403,Forbidden,Blinkit 3-3,text,false,,562495,171,8,33,https://blinkit.com/dc/?collection_uuid=736e6fc2-8c33-4c35-9821-d325509aa0e5,45,0,0
1789535663404,2462,Snacks - HTTP Request,403,Forbidden,Blinkit 3-4,text,false,,562501,135,8,33,https://blinkit.com/cn/null/cid/1237/940,701,0,184
1789535663904,2006,Snacks - HTTP Request,403,Forbidden,Blinkit 3-5,text,false,,562499,135,9,37,https://blinkit.com/cn/null/cid/1237/940,836,0,750
1789535665047,1125,DailyEssentials - HTTP Request,403,Forbidden,Blinkit 3-1,text,false,,562491,171,9,37,https://blinkit.com/dc/?collection_uuid=736e6fc2-8c33-4c35-9821-d325509aa0e5,184,0,0
1789535662038,4322,Makeup - HTTP Request,403,Forbidden,Nykaa 5-1,text,false,,1246,292,1,37,https://www.nykaa.com/sp/makeup-sale-page/makeup-sale,1843,0,1460
1789535662038,1843,Makeup - HTTP Request-0,301,Moved Permanently,Nykaa 5-1,,true,,403,144,1,37,https://nykaa.com/sp/makeup-sale-page/makeup-sale,1843,0,1460
1789535663883,2477,Makeup - HTTP Request-1,403,Forbidden,Nykaa 5-1,text,false,,843,148,1,37,https://www.nykaa.com/sp/makeup-sale-page/makeup-sale,2473,0,1623
1789535665601,1014,PersonalCare - HTTP Request,403,Forbidden,Blinkit 3-3,text,false,,562499,134,10,41,https://blinkit.com/cn/null/cid/163/696,254,0,0
1789535665540,1175,PersonalCare - HTTP Request,403,Forbidden,Blinkit 3-2,text,false,,562503,134,10,41,https://blinkit.com/cn/null/cid/163/696,64,0,0
1789535664423,2292,Snacks - HTTP Request,403,Forbidden,Blinkit 3-6,text,false,,562499,135,10,41,https://blinkit.com/cn/null/cid/1237/940,756,0,592
1789535665412,2246,Snacks - HTTP Request,403,Forbidden,Blinkit 3-8,text,false,,562499,135,10,41,https://blinkit.com/cn/null/cid/1237/940,525,0,436
1789535665910,1753,PetCare - HTTP Request,403,Forbidden,Blinkit 3-5,text,false,,562499,132,10,41,https://blinkit.com/cn/null/cid/5/133,263,0,0
1789535662393,5609,Restaurants - HTTP Request,200,OK,Swiggy 2-2,text,true,,90700,258,10,41,https://www.swiggy.com:443/restaurants,3969,0,3126
1789535662393,3969,Restaurants - HTTP Request-0,301,Moved Permanently,Swiggy 2-2,text,true,,345,125,10,41,https://swiggy.com/restaurants,3969,0,3126
1789535666363,1639,Restaurants - HTTP Request-1,200,OK,Swiggy 2-2,text,true,,90355,133,10,41,https://www.swiggy.com:443/restaurants,1330,0,394
1789535666173,1835,PersonalCare - HTTP Request,403,Forbidden,Blinkit 3-1,text,false,,562497,134,10,41,https://blinkit.com/cn/null/cid/163/696,439,0,0
1789535666616,1413,SweetTooth - HTTP Request,403,Forbidden,Blinkit 3-3,text,false,,562490,132,10,41,https://blinkit.com/cn/null/cid/9/944,154,0,0
1789535665867,2164,PetCare - HTTP Request,403,Forbidden,Blinkit 3-4,text,false,,562495,132,10,41,https://blinkit.com/cn/null/cid/5/133,80,0,0
1789535665912,2264,Snacks - HTTP Request,403,Forbidden,Blinkit 3-9,text,false,,562491,135,10,41,https://blinkit.com/cn/null/cid/1237/940,667,0,572
1789535662038,6173,Restaurants - HTTP Request,200,OK,Swiggy 2-1,text,true,,90708,258,10,41,https://www.swiggy.com:443/restaurants,4324,0,3454
1789535662038,4324,Restaurants - HTTP Request-0,301,Moved Permanently,Swiggy 2-1,text,true,,345,125,10,41,https://swiggy.com/restaurants,4324,0,3454
1789535666365,1846,Restaurants - HTTP Request-1,200,OK,Swiggy 2-1,text,true,,90363,133,10,41,https://www.swiggy.com:443/restaurants,1141,0,392
1789535664904,3506,Snacks - HTTP Request,403,Forbidden,Blinkit 3-7,text,false,,562491,135,10,41,https://blinkit.com/cn/null/cid/1237/940,1671,0,1561
1789535666361,2136,Skin- HTTP Request,403,Forbidden,Nykaa 5-1,text,false,,1246,292,1,41,https://www.nykaa.com/sp/skin-sale-page/skincare-sale,161,0,0
